#(Trening) mape skaluje do wymiarow 100x100  [lines d loops start_x1 start_y1 start_x2 start_y2 start_x3 start_y3 start_x4 start_y4 n_checkpoints 2<checkpoints,,,] [x y]
200 10,0  82,000   50,000   84,000   50,000   86,000   50,000   88,000   50,000 4 2  50 100 150
   85,000   50,000
   84,983   51,099
   84,931   52,198
   84,845   53,294
   84,724   54,387
   84,569   55,475
   84,380   56,558
   84,157   57,635
   83,900   58,704
   83,610   59,765
   83,287   60,816
   82,931   61,856
   82,542   62,884
   82,121   63,900
   81,669   64,902
   81,185   65,890
   80,671   66,861
   80,126   67,816
   79,551   68,754
   78,948   69,673
   78,316   70,572
   77,655   71,452
   76,968   72,310
   76,254   73,146
   75,514   73,959
   74,749   74,749
   73,959   75,514
   73,146   76,254
   72,310   76,968
   71,452   77,655
   70,572   78,316
   69,673   78,948
   68,754   79,551
   67,816   80,126
   66,861   80,671
   65,890   81,185
   64,902   81,669
   63,900   82,121
   62,884   82,542
   61,856   82,931
   60,816   83,287
   59,765   83,610
   58,704   83,900
   57,635   84,157
   56,558   84,380
   55,475   84,569
   54,387   84,724
   53,294   84,845
   52,198   84,931
   51,099   84,983
   50,000   85,000
   48,901   84,983
   47,802   84,931
   46,706   84,845
   45,613   84,724
   44,525   84,569
   43,442   84,380
   42,365   84,157
   41,296   83,900
   40,235   83,610
   39,184   83,287
   38,144   82,931
   37,116   82,542
   36,100   82,121
   35,098   81,669
   34,110   81,185
   33,139   80,671
   32,184   80,126
   31,246   79,551
   30,327   78,948
   29,428   78,316
   28,548   77,655
   27,690   76,968
   26,854   76,254
   26,041   75,514
   25,251   74,749
   24,486   73,959
   23,746   73,146
   23,032   72,310
   22,345   71,452
   21,684   70,572
   21,052   69,673
   20,449   68,754
   19,874   67,816
   19,329   66,861
   18,815   65,890
   18,331   64,902
   17,879   63,900
   17,458   62,884
   17,069   61,856
   16,713   60,816
   16,390   59,765
   16,100   58,704
   15,843   57,635
   15,620   56,558
   15,431   55,475
   15,276   54,387
   15,155   53,294
   15,069   52,198
   15,017   51,099
   15,000   50,000
   15,017   48,901
   15,069   47,802
   15,155   46,706
   15,276   45,613
   15,431   44,525
   15,620   43,442
   15,843   42,365
   16,100   41,296
   16,390   40,235
   16,713   39,184
   17,069   38,144
   17,458   37,116
   17,879   36,100
   18,331   35,098
   18,815   34,110
   19,329   33,139
   19,874   32,184
   20,449   31,246
   21,052   30,327
   21,684   29,428
   22,345   28,548
   23,032   27,690
   23,746   26,854
   24,486   26,041
   25,251   25,251
   26,041   24,486
   26,854   23,746
   27,690   23,032
   28,548   22,345
   29,428   21,684
   30,327   21,052
   31,246   20,449
   32,184   19,874
   33,139   19,329
   34,110   18,815
   35,098   18,331
   36,100   17,879
   37,116   17,458
   38,144   17,069
   39,184   16,713
   40,235   16,390
   41,296   16,100
   42,365   15,843
   43,442   15,620
   44,525   15,431
   45,613   15,276
   46,706   15,155
   47,802   15,069
   48,901   15,017
   50,000   15,000
   51,099   15,017
   52,198   15,069
   53,294   15,155
   54,387   15,276
   55,475   15,431
   56,558   15,620
   57,635   15,843
   58,704   16,100
   59,765   16,390
   60,816   16,713
   61,856   17,069
   62,884   17,458
   63,900   17,879
   64,902   18,331
   65,890   18,815
   66,861   19,329
   67,816   19,874
   68,754   20,449
   69,673   21,052
   70,572   21,684
   71,452   22,345
   72,310   23,032
   73,146   23,746
   73,959   24,486
   74,749   25,251
   75,514   26,041
   76,254   26,854
   76,968   27,690
   77,655   28,548
   78,316   29,428
   78,948   30,327
   79,551   31,246
   80,126   32,184
   80,671   33,139
   81,185   34,110
   81,669   35,098
   82,121   36,100
   82,542   37,116
   82,931   38,144
   83,287   39,184
   83,610   40,235
   83,900   41,296
   84,157   42,365
   84,380   43,442
   84,569   44,525
   84,724   45,613
   84,845   46,706
   84,931   47,802
   84,983   48,901
   85,000   50,000
